keyword,title,company,location,career,education,work_type,deadline,link,rec_idx,crawled_at
헬스케어,오상헬스케어-Europe Team-해외영업 직무 채용,(주)오상헬스케어,"['경기', '안양시 동안구']",경력무관,학력무관,정규직,~ 09/06(토),/zf_user/jobs/relay/view?view_type=search&rec_idx=51236645&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51236645,2025-09-02 05:56:00
헬스케어,(주)유유헬스케어생산2파트 생산 설비 오퍼레이터 인원 채용,(주)유유헬스케어,"['강원', '횡성군']",경력무관,학력무관,정규직,~ 10/27(월),/zf_user/jobs/relay/view?view_type=search&rec_idx=51676224&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51676224,2025-09-02 05:56:00
헬스케어,[코스닥상장/주4.5일] 에스지헬스케어구매자재팀(중국어) 채용,(주)에스지헬스케어,"['서울', '송파구']",경력1년↑,학력무관,정규직,~ 09/20(토),/zf_user/jobs/relay/view?view_type=search&rec_idx=51612685&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51612685,2025-09-02 05:56:00
헬스케어,[코스닥 상장/주4.5일] 에스지헬스케어의료기기 기술팀 채용,(주)에스지헬스케어,"['서울', '송파구']",신입·경력,초대졸↑,정규직,~ 09/25(목),/zf_user/jobs/relay/view?view_type=search&rec_idx=51652383&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51652383,2025-09-02 05:56:00
헬스케어,대원헬스케어(주) 건강기능식품 생산직(신입/경력) 모집,대원헬스케어(주),"['충남', '예산군']",경력무관,학력무관,정규직,~ 09/20(토),/zf_user/jobs/relay/view?view_type=search&rec_idx=51613432&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51613432,2025-09-02 05:56:00
헬스케어,[서울] 의약품사업본부헬스케어팀 팀장(총괄) 모집(10년 이상),(주)엔지켐생명과학,"['서울', '서초구']",경력 10~20년,학력무관,정규직,~ 09/08(월),/zf_user/jobs/relay/view?view_type=search&rec_idx=51626515&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51626515,2025-09-02 05:56:00
헬스케어,"디지탈헬스케어, 의료기기, 의료용 AI 영업 (대구지사)",(주)메디칼스탠다드,"['대구', '동구']",경력3년↑,초대졸↑,정규직,내일마감,/zf_user/jobs/relay/view?view_type=search&rec_idx=51629759&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51629759,2025-09-02 05:56:00
헬스케어,에이스헬스케어(주) 연구소 제품 인허가(RA) 담당자 채용,에이스헬스케어(주),"['서울', '강동구']",경력 5~15년,대졸↑,정규직,~ 09/07(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51509131&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51509131,2025-09-02 05:56:00
헬스케어,[에이스헬스케어(주)] 의료기기 국내 영업 담당(신입 가능),에이스헬스케어(주),"['서울', '강동구']",신입·경력,대졸↑,정규직,~ 10/01(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51701049&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51701049,2025-09-02 05:56:00
헬스케어,SW헬스케어의약품사업부 영업지원 모집 (경력),(주)에스더블유헬스케어,"['인천', '서구']",경력 2~10년,고졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51407267&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51407267,2025-09-02 05:56:00
헬스케어,[업계상위/연봉상향]헬스케어/식품 브랜드매니저(팀장급) 채용,(주)사람인에이치에스,"['서울', '성동구']",경력7년↑,대졸↑,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51619854&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51619854,2025-09-02 05:56:00
헬스케어,[업계상위/연봉상향]헬스케어/식품 브랜드매니저 경력 채용,(주)사람인에이치에스,"['서울', '성동구']",경력7년↑,대졸↑,정규직,~ 09/06(토),/zf_user/jobs/relay/view?view_type=search&rec_idx=51631422&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=363e309a-264b-401f-9bf0-475b82835ffa,51631422,2025-09-02 05:56:00
